Stock,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RSI,SMA,13MA,30MA,EMA,DEMA,+DI,-DI,DX,ADX,VWAP,Upper_Band,Lower_Band,MACD,Signal_line,%K,%D,Profit,Output
BRITANNIA.NS,4942.2998046875,4971.2001953125,4864.60009765625,4911.25,4911.25,648795,0.0,0.0,56.09947372559552,4942.968500976563,4888.900015024038,4906.905013020833,4893.711144548081,4897.456984239412,17.54906915088935,18.47835422597334,2.5793825591224278,17.26995446454151,4760.76887680654,5014.858278430054,4798.9517476116125,-19.337237915179685,-30.07769607454212,62.40392483357691,69.61827205842944,-0.18190713705159592,2.0
MCDOWELL-N.NS,1143.8499755859375,1147.699951171875,1121.050048828125,1134.25,1134.25,709064,0.0,0.0,44.671315013111894,1096.2810021972657,1121.250009390024,1137.7783447265624,1126.2406112129106,1125.86961233692,24.4939352222425,17.903117502969458,15.54546199706407,15.01275819781412,999.7822006553442,1183.0242899744344,1092.5323994786904,-0.49061501938263063,-0.24380393041469128,64.21178858587194,60.632103007845814,-0.45635625913424943,2.0
TITAN.NS,3760.0,3838.300048828125,3732.550048828125,3801.800048828125,3801.800048828125,1590738,0.0,0.0,49.10330124274195,3597.441494140625,3672.7115009014424,3677.7499755859376,3700.356326511321,3727.424114630903,29.168972428693156,18.235529282915504,23.064145283696156,16.03749169047309,3224.6164666371237,3837.032256934096,3518.467694237779,13.592289099638947,1.7631244465242337,87.46781115879828,72.86683410548319,1.1278434746444816,4.0
HDFCBANK.NS,1440.699951171875,1460.5,1440.699951171875,1447.9000244140625,1447.9000244140625,27796071,0.0,0.0,51.791771831157966,1522.2785034179688,1444.9923189603364,1433.3950113932292,1441.7211213148496,1442.5057746499933,19.56006673458914,21.052172946736867,3.674030843548421,17.807966995810265,1568.382142545422,1463.5609981011708,1403.2290246852876,-2.4988828819095943,-4.325829626351781,52.92956769874924,33.02219904958188,0.4997621632686884,3.0
ICICIBANK.NS,1085.0,1105.050048828125,1085.0,1093.300048828125,1093.300048828125,22070566,0.0,0.0,46.96006453112397,1009.5459979248047,1083.5346022385818,1069.4049865722657,1084.9206041775942,1089.7954665338843,22.20594937970638,14.492994462198162,21.016830758767536,17.20529536626555,968.8746904796969,1093.9430464530951,1044.8669266914362,11.713788625677125,13.491166646328857,76.21458665381716,57.73064153149236,0.8812040441176471,4.0
KOTAKBANK.NS,1777.949951171875,1803.9000244140625,1774.199951171875,1785.5,1785.5,6630072,0.0,0.0,58.100021503394466,1783.5219946289062,1752.0423208383413,1738.4416666666666,1762.0849562281642,1776.632942288016,25.099353509653653,16.265427037721693,21.356154571675795,16.01733863540632,1832.4410212840344,1793.3007868419802,1683.582546491353,6.49808204521878,-0.5832117334641609,80.9425011821407,72.83914041432843,0.5575593912021514,4.0
AXISBANK.NS,1052.8499755859375,1058.4000244140625,1044.0999755859375,1047.199951171875,1047.199951171875,10235318,0.0,0.0,23.804654297950705,1074.0604968261719,1057.1961576021636,1075.7199951171874,1051.767437779596,1039.540754432692,16.777100836735723,23.24678424257828,16.16455622192049,18.974560918178543,989.4818924652998,1134.7259401550284,1016.7140500793464,-11.439847678131628,-8.057919298646324,19.818859490227624,18.860967321780095,-0.5366409787793479,2.0
INDUSINDBK.NS,1534.75,1564.5,1533.5999755859375,1553.0,1553.0,3964429,0.0,0.0,49.71605621809602,1525.2750024414063,1499.6653864933894,1500.8200032552083,1510.2850720419806,1520.9998000132696,26.17150394658156,20.640489041992204,11.815380101290302,18.651715684009236,1404.1891987983684,1579.1836022108107,1422.456404299606,1.3512754529513131,-5.116346872935489,87.56720838084613,75.52644172265657,1.2682958203247323,4.0
SBIN.NS,737.75,759.5499877929688,736.9000244140625,752.3499755859375,752.3499755859375,21705116,0.0,0.0,37.2525055239899,659.2080017089844,743.1769221379207,754.4450012207031,743.7190493428658,740.6183703238546,23.738947638795466,20.224255199696696,7.994623258024928,23.58647160666766,614.6003210581403,793.5900969379123,715.299905503494,4.360158756261626,8.523191235194517,44.22550488737112,30.027153443909743,2.5978437351818284,5.0
BANKBARODA.NS,258.75,266.3999938964844,258.75,264.04998779296875,264.04998779296875,11966752,0.0,0.0,33.18179951815465,234.60800079345702,259.7230752798227,267.09666697184247,260.2097618603671,258.42618797418083,20.783098252145628,24.12663365367338,7.445013050934127,20.503660525516302,210.28705301903895,287.6064642890973,246.58686965458764,-0.6330101297817805,0.39363654107940976,48.444936035379946,42.22485053019421,2.0483044610507246,5.0
IOB.NS,57.29999923706055,62.0,57.20000076293945,59.95000076293945,59.95000076293945,30823664,0.0,0.0,39.00574567688397,50.97450019836426,59.26923076923077,63.58333396911621,59.301915829360546,57.865562874966784,19.156612159575744,21.848327886395438,6.564369375499577,22.310745041623985,45.33437250812037,70.68069448970178,56.48597344853065,-1.048008274365877,-0.49120294347429017,38.88889393478382,24.329092026100994,5.360279710490632,5.0
PNB.NS,122.9000015258789,125.0999984741211,122.9000015258789,124.4000015258789,124.4000015258789,29453142,0.0,0.0,40.77518451902038,102.43100013732911,121.5500001173753,124.56666692097981,122.33179710826803,122.24873509073763,19.41156721270134,20.955544385113647,3.8248393588207135,22.55722334943686,81.33603644207518,133.22713153871968,115.90620230323995,0.46355989516179363,0.7757720500657139,54.521289871205234,50.79787388743039,1.3441967624268076,4.0
UNIONBANK.NS,152.0,154.1999969482422,151.25,153.5,153.5,11097927,0.0,0.0,48.41437693517179,130.08900009155275,148.76922959547775,147.675,149.75619798245467,150.7904419995036,25.55873639753155,17.56134756673641,18.54678399379344,21.02802283334367,110.65809606493926,157.29884410362638,138.05115589637364,1.7716218282014324,1.868208785669896,65.28927704226622,57.30029111503299,1.521166070224945,4.0
ULTRACEMCO.NS,9680.0,9853.9501953125,9641.5498046875,9749.150390625,9749.150390625,506387,0.0,0.0,55.593521126475885,9629.012998046876,9618.600060096154,9773.890071614584,9647.66593145594,9623.340910153795,24.77567735354501,18.497998787128683,14.506922282287512,11.150554310782582,8767.188727739906,10099.950700327016,9447.829442902152,-69.42326164247606,-81.74411693483461,74.97615722010676,47.355825710247984,1.3061863755862475,4.0
SHREECEM.NS,26091.0,26091.0,25585.0,25682.849609375,25682.849609375,26276,0.0,0.0,57.45849992446858,26846.00412109375,25201.13837139423,25723.530078125,25452.385481618916,25545.633135949945,21.00432164641666,19.736557988204254,3.1117729160051857,23.754119329669912,25535.569621526964,26642.591957878692,24804.46819837131,-250.36832106973452,-417.8158138350517,68.84877386105534,79.95945231759988,-0.9888451478648321,2.0
AMBUJACEM.NS,607.5,617.0,602.25,612.3499755859375,612.3499755859375,3861492,0.0,0.0,54.663119755648836,526.9204986572265,589.1384559044471,593.3533284505208,594.922658529563,598.7254510268662,24.221715228501814,19.24158476312583,11.458242853937255,18.50501004757219,464.0042206691556,623.2251741753197,563.481482725722,4.966506164812813,4.71519395754882,92.97579523169844,77.76004473158564,1.8038197150353283,4.0
JSWSTEEL.NS,827.0,840.8499755859375,820.0,830.2000122070312,830.2000122070312,3722941,0.0,0.0,55.80536740926138,813.2885009765625,808.7730806790865,814.2666687011719,815.1921936403636,819.9031258627051,22.53690373410538,18.719064461225898,9.254029028729779,11.614113606457193,786.552953063548,846.5312657288639,782.0020716734798,0.5023038516299039,-2.358854467619304,82.32109694420589,74.12305877919935,1.4852422951367876,4.0
TATASTEEL.NS,152.6999969482422,157.0,152.6999969482422,155.85000610351562,155.85000610351562,62575327,0.0,0.0,54.89067756730371,136.23199958801268,149.28461397611179,147.19499918619792,150.9408249650886,153.13467728457096,30.52471750649652,20.84446768563951,18.84446830264096,14.54203128454401,127.32133577953455,157.2807117883844,137.10928658401144,2.581568529045512,2.240619135686534,84.13466476127317,73.55770124251609,2.0628744061737843,5.0
JSL.NS,706.7999877929688,712.7000122070312,685.75,694.4500122070312,694.4500122070312,1192965,0.0,0.0,48.852710530667125,581.5519979858399,674.7115431565505,660.1983317057292,685.0383388360141,698.0514282062767,22.470110889695686,19.12309005841728,8.047038349978825,14.043841469682338,510.68752120907243,705.933980462514,614.4626829489443,17.68229901214113,16.635301932453544,79.87965104470891,86.65808780631511,-1.19512892803383,2.0
HINDALCO.NS,561.0,566.6500244140625,555.2999877929688,560.25,560.25,8326754,0.0,0.0,65.26121751389515,539.6350015258789,537.2384690504807,524.9583353678386,544.6676561789282,555.6547430715907,27.172314137460262,21.35589070819222,11.98565545082,15.062559174660052,485.6726991631577,557.6523083853995,492.26436235027774,4.8784702240675415,-0.4254150750577925,90.22150768464647,91.75315834673597,0.46623786821660457,3.0
JINDALSTEL.NS,836.0499877929688,854.0,836.0,849.1500244140625,849.1500244140625,1751216,0.0,0.0,53.713838227757,732.0260009765625,808.2269240159255,796.5116678873698,820.9559094060749,835.928204887317,32.45607960647515,21.284302073022737,20.78842238240835,12.46383239026368,659.0637003935691,854.7603210678145,738.263014706925,15.892773975422074,12.807177541503455,83.31835813252202,74.92505538628792,1.9265453485143424,4.0
HINDZINC.NS,293.70001220703125,296.1499938964844,290.1000061035156,292.29998779296875,292.29998779296875,452622,0.0,0.0,33.997950557192254,309.33749908447265,297.2000004695012,304.5683339436849,295.8274559842166,291.8803591109124,11.2631726806851,26.88932163881677,40.957083506187104,25.010666495617816,314.2140195953437,320.07640979075967,289.0602580966101,-4.848794369153779,-4.2571527446615125,27.304917337350403,31.77944171404367,-0.47668517394395366,2.0
VEDL.NS,272.0,275.0,270.75,271.6499938964844,271.6499938964844,6625066,0.0,0.0,42.24136683660337,259.1979989624023,268.0346116286058,270.27666524251305,270.07625976990147,270.4256694386585,20.902251515690022,20.456875534228168,1.0768505363382308,10.639402086730044,258.50374939386154,285.9602683384366,254.5930621465895,0.1131270640851767,-0.044889062944226135,58.44326507540419,53.988420766421406,0.018404930723638507,3.0
COALINDIA.NS,430.0,438.45001220703125,430.0,434.1000061035156,434.1000061035156,10332853,0.0,0.0,36.94207633042667,391.12249938964845,429.77692354642426,442.56666768391926,431.56978730545666,429.1564459490532,16.445894972056504,25.17328701818228,20.969638586776323,25.64675484702485,324.68496151246114,473.11907940999157,412.01425595784696,-1.539617212861458,-0.4273804021993398,51.24611102792455,49.792326712474754,1.0827788483663343,4.0
BHARTIARTL.NS,1226.949951171875,1238.5,1220.300048828125,1228.5999755859375,1228.5999755859375,10518377,0.0,0.0,59.68906972377945,1074.9189990234374,1214.8500037560095,1171.7033284505208,1217.1675335792015,1233.9524860706017,22.71065418142668,16.650722570529243,15.39562919530326,18.44032310382033,959.4986206651948,1248.2691311914618,1095.1375257095797,25.358155397747396,24.871858655997183,82.42227670826388,77.42561762081363,0.31024874316817896,3.0
DMART.NS,4424.9501953125,4560.0,4397.0498046875,4525.60009765625,4525.60009765625,892567,0.0,0.0,79.75427881672094,3890.1594921875,4146.503887469952,3961.370011393229,4252.708694247172,4434.539331773195,34.91653341898534,6.22033729845193,69.75784890796164,31.50074360560568,3803.743737613831,4389.716027822041,3533.0239949644174,153.77982344400243,98.10552124393553,94.96193616230845,91.91518249971143,2.376407858980706,5.0
TRENT.NS,3875.199951171875,3975.0,3875.199951171875,3948.0,3948.0,837624,0.0,0.0,55.25151238077244,3243.4000048828125,3980.7307880108174,3951.386678059896,3947.039749793355,3937.3978219879064,22.64995253295871,20.310414807098432,5.445804751485085,22.077826987790555,2566.2072923421706,4087.919685968515,3814.853670151277,57.998076748173844,89.91313574386895,26.681509250001966,26.20865983965237,1.8786140004494474,4.0
DLF.NS,886.7999877929688,907.0,882.7000122070312,897.0,897.0,4055477,0.0,0.0,44.15111270389617,756.9875006103516,856.1461651141827,877.183339436849,868.4270846636925,871.729784031703,27.187278516639203,22.016596031083214,10.50868967755982,26.910765702306673,595.8909159835168,953.8696502211668,800.4970286525312,4.933318174172086,5.2431069202734655,71.64063453674316,60.29984427537183,1.8739352640545146,4.0
GODREJPROP.NS,2277.10009765625,2315.0,2248.39990234375,2300.10009765625,2300.10009765625,428232,0.0,0.0,36.597006297031776,2133.3959924316405,2237.7576810396636,2326.989998372396,2259.204411700125,2243.0598623661635,23.95779620604788,25.41421003442792,2.949877753167043,20.24617282961663,1760.3620998981974,2570.304369459339,2083.6756272854527,-23.98169474239012,-22.455641702304813,50.76886451246646,45.21124919195565,1.0144970424352218,4.0
OBEROIRLTY.NS,1514.949951171875,1521.199951171875,1387.9000244140625,1475.8499755859375,1475.8499755859375,1274101,0.0,0.0,67.13621627161336,1383.2534973144532,1391.1346059945913,1367.0666625976562,1431.2811529500316,1477.8040528355436,29.25276486295545,24.021182716030832,9.820151095745334,18.966614963978323,1199.5803058820566,1487.30079987941,1246.8325253159023,30.751925410292642,12.838740605834033,78.00121103259622,89.92604845081074,-2.580941737097789,1.0
LODHA.NS,1157.25,1166.75,1123.25,1135.8499755859375,1135.8499755859375,2245991,0.0,0.0,42.60340258272192,1023.8535046386719,1103.0346163236177,1122.4716695149739,1126.0524678717697,1136.0843032143912,23.123175722844564,19.22076007011117,9.215996528557449,17.043386130062558,793.8649307113898,1243.504154250034,1001.4391847799138,6.39484975290361,2.735226757054142,52.73664090823059,56.60178725042707,-1.0626778209400154,2.0
LT.NS,3706.550048828125,3813.35009765625,3697.550048828125,3763.89990234375,3763.89990234375,4278668,0.0,0.0,59.22528640077935,3394.3519995117185,3602.84228515625,3523.7249837239583,3634.514905007327,3689.7517468687897,34.8134085340425,13.721598070457672,43.45690242809031,21.074570311270197,2936.4866751495774,3680.7012796411173,3366.7486878067994,53.969513244873724,40.29764596219385,85.12105287128684,87.01194847992319,1.5513706430771206,4.0
HAL.NS,3291.0,3345.0,3272.0,3327.0,3327.0,1385868,0.0,0.0,54.05317051409969,2788.990506591797,3177.376934344952,3128.250008138021,3205.6579663931143,3254.627949038022,27.30964076647321,22.5846642689172,9.469971561292507,16.91608689092374,2133.635695505734,3344.940831216095,2911.5591850599467,52.25322217701796,42.53161073082515,80.36547061151923,75.6901261298546,1.4004648051097757,4.0
TCS.NS,3850.10009765625,3915.0,3840.5,3876.300048828125,3876.300048828125,4311783,0.0,0.0,35.74246045353185,3808.036511230469,4036.1307654747598,4058.200016276042,3960.646330786795,3881.7298480791123,14.916824779687815,30.485509785547617,34.29049443149283,23.435127387938632,3573.1388961409407,4289.632688911169,3826.7673436409154,-38.009271964930576,-1.3754557312802076,11.026245613390625,6.452806209719086,0.9216628234121261,4.0
INFY.NS,1487.1500244140625,1511.800048828125,1487.1500244140625,1498.050048828125,1498.050048828125,12499530,0.0,0.0,26.69658117623534,1558.5125012207031,1566.8769155649038,1620.4549926757813,1539.794989026156,1494.3551356011417,14.584025109479423,35.006823211720885,41.182594760151794,27.286377007266015,1433.1883455214634,1740.0595574628198,1500.8504278887428,-39.166039635126026,-25.365941177410157,9.364361278343944,4.488746847806275,0.9569749958435134,4.0
HCLTECH.NS,1549.0,1561.050048828125,1531.0,1543.550048828125,1543.550048828125,5301493,0.0,0.0,27.56856284101866,1495.68650390625,1605.2000075120193,1633.44833984375,1583.0788753082534,1552.130352284413,13.83096668954725,30.091338084529717,37.020760815309885,22.055201953821825,1309.0410013701444,1713.9776374140479,1552.9190422734523,-17.436824553323504,-4.023916306301615,20.22316234648685,24.294452878870615,-0.1713816082933919,2.0
WIPRO.NS,476.70001220703125,483.04998779296875,475.29998779296875,480.1000061035156,480.1000061035156,7727575,0.0,0.0,32.485429362773374,462.2955017089844,498.7000028170072,513.2600036621094,491.38862221866117,479.448827694761,11.211033160155926,32.027412199897725,48.143218069938406,31.824764166037216,438.14942184522977,543.673164072701,482.84684325151784,-6.888763367487968,-1.7668591703547971,17.268304592225608,7.052766554567643,1.6514966148942587,4.0
TECHM.NS,1260.0,1264.949951171875,1242.0,1248.0999755859375,1248.0999755859375,2436133,0.0,0.0,42.78967261669118,1263.4580029296876,1271.1461557241587,1284.52333984375,1264.010569516279,1253.0059144490165,11.081349508222164,24.783944458154988,38.205723234218226,22.935815468743396,1193.1166473661233,1312.1958742983734,1256.8508053891264,-11.880194136865612,-9.57760156551904,16.77147702418202,22.338709769144245,-0.4546237853089193,2.0
LTIM.NS,4935.9501953125,4967.39990234375,4908.0498046875,4938.39990234375,4938.39990234375,1169945,0.0,0.0,33.31608801031544,5559.38599609375,5105.073129507212,5265.673356119792,5054.241347930011,4953.782308789446,10.329638570559453,34.65172132064744,54.07147051337269,41.33218735473007,5202.874915360756,5509.860311062662,5021.486401176921,-126.50013333284278,-113.72964000596352,8.266393944068815,6.956335495414135,0.22120552701674276,3.0
ADANIPORTS.NS,1334.0,1358.699951171875,1314.0,1341.8499755859375,1341.8499755859375,4188741,0.0,0.0,52.54135272679635,1111.3259942626953,1281.1346059945913,1298.916658528646,1296.545662178646,1306.3637903426784,25.748185074601587,20.393982386927153,11.603708673066834,29.931641991864005,890.9479402892325,1374.3348525028096,1223.4984645544823,9.835417904593669,7.984106161978953,90.12310785622033,81.50119967446314,1.4401214132618851,4.0
GRASIM.NS,2210.0,2309.199951171875,2210.0,2287.300048828125,2287.300048828125,1786120,0.0,0.0,56.69126296515206,2089.4927978515625,2205.515437199519,2194.8883463541665,2221.0245821513904,2238.7050588334223,21.86977921316195,16.374636408235954,14.36848417119346,13.8364487971203,1942.910793141152,2260.8378734011526,2128.9388193071804,20.351579078344912,17.51077922991086,87.87379839050907,73.95488397614751,3.621987796895714,5.0
ITC.NS,428.0,433.25,427.0,428.3500061035156,428.3500061035156,27933211,0.0,0.0,65.43674131214507,437.99549987792966,419.3538489708534,413.2433339436849,422.4034156067883,427.54719945147224,32.58543464276227,18.294888451976636,28.086586958531512,26.510199654826174,437.6886904902097,429.87318723957765,396.61348064779213,1.6806727182019472,-1.101145286795435,75.03235337544997,74.1267746981207,0.081777126989632,3.0
SUNPHARMA.NS,1609.949951171875,1634.0,1607.949951171875,1620.550048828125,1620.550048828125,4427587,0.0,0.0,53.72832490749174,1367.4639904785156,1578.5269118088943,1565.9783203125,1588.554803671319,1603.362723055051,25.694319273193532,12.147587654481873,35.79822667130011,35.45824430129319,1188.171195128981,1611.537038641663,1520.419601983337,24.810297603351728,25.890193865418517,88.14982275605728,79.85275782009423,1.0223497905099512,4.0
DIVISLAB.NS,3367.050048828125,3469.699951171875,3367.050048828125,3445.300048828125,3445.300048828125,1145370,0.0,0.0,41.23976325185555,3661.6454931640624,3472.965388371394,3546.8250081380206,3446.917538840644,3403.2158679031463,17.89707951137083,28.226920705243767,22.39580510224689,25.13174681483354,3560.916391562727,3672.2483694447888,3421.4016468312525,-59.14158808319553,-55.19316295292806,31.5510787691855,14.411952527656775,2.2996852272544395,5.0
CIPLA.NS,1472.0,1514.199951171875,1461.1500244140625,1496.949951171875,1496.949951171875,2110407,0.0,0.0,52.03336167641703,1334.705498046875,1471.5269118088943,1466.8716593424479,1471.2039822069028,1473.9556810143501,25.159006881594603,15.218867416710328,24.617787928726013,21.483545177143906,1166.437860782258,1508.368060178676,1425.3752585062198,10.522905122640395,13.451426271257633,78.67500616844518,59.88070797616363,2.2960997810850947,5.0
DRREDDY.NS,6078.0,6209.7998046875,6078.0,6157.89990234375,6157.89990234375,517383,0.0,0.0,40.72869868386244,5897.908500976562,6216.953838641827,6293.678304036458,6175.362471242611,6112.9163053359225,17.961483600484964,22.91768068233119,12.124017623152827,16.958162113171262,5487.54573362309,6516.5392084026425,6070.8173996702735,-25.995606777347348,5.571644360199499,33.275635381108046,22.00672271610595,1.882824619857449,4.0
APOLLOHOSP.NS,6231.4501953125,6425.60009765625,6112.5,6356.7998046875,6356.7998046875,818070,0.0,0.0,63.485216152655994,5890.56201171875,6173.626915564904,6330.361653645833,6237.390528565955,6277.293399934348,23.789475793290688,23.49369569137447,0.6255504709791843,20.00878292559585,5309.538842435731,6578.662147066664,6082.061160225002,-4.834360131896574,-31.94180627334844,79.56302181335374,69.3621857579906,2.011564009117686,5.0
MANKIND.NS,2350.0,2350.550048828125,2253.0,2300.75,2300.75,1579684,0.0,0.0,63.73955783861328,2044.413497314453,2176.3038423978364,2166.220003255208,2216.5351691058654,2267.21802529751,24.621636979540618,17.207249948200694,17.725518358038432,15.761168798193765,1785.2246091402,2304.0606932765777,2028.3793132338385,33.13263285701396,13.854713715053578,81.24640122949704,87.96547711310649,-1.5237484181828251,2.0
BAJFINANCE.NS,7032.10009765625,7349.2998046875,7032.10009765625,7245.25,7245.25,3574518,0.0,0.0,93.61226047629775,7063.445981445312,6664.838454026442,6616.333349609375,6815.534473551223,7005.36172704025,40.92144353425339,15.856325591291295,44.1460070182383,27.034481235543524,7067.632001437623,7092.775627756699,6139.891071462051,74.07018778261045,-21.018229919432116,90.10463103304802,94.14916241548865,3.1682745363283615,5.0
LICI.NS,902.6500244140625,928.0,901.75,916.1500244140625,916.1500244140625,4191452,0.0,0.0,36.427857367972884,851.0550012207032,919.7423142653245,987.5983357747396,915.0626540239247,887.8820481051965,16.62194605860798,23.320183479444918,16.76985553425619,29.38735386024007,827.0865090415803,1108.8428210720128,866.3538504774664,-27.292701276621074,-20.220483479767566,28.416680230034725,20.545837967890353,2.6498626794467786,5.0
BAJAJFINSV.NS,1588.0,1669.0,1588.0,1643.8499755859375,1643.8499755859375,5210310,0.0,0.0,71.0445601152256,1625.1205053710937,1588.8038517878606,1590.410009765625,1596.5825493189395,1605.956938587151,27.520063022122542,16.665326287918074,24.56634852312562,12.988926586129805,1547.250124616196,1633.9840318773195,1546.8359876539307,1.3466998773203613,-4.297953842235565,79.30039142875515,65.90936477857448,3.8669288994913944,5.0
JIOFIN.NS,354.8500061035156,357.75,350.3999938964844,353.75,353.75,22677060,0.0,0.0,60.847190485084674,264.0580000305176,346.6230773925781,323.1566670735677,345.20847614592986,352.5132271833877,30.520416197193285,17.264302744607562,27.741323473579367,37.12825435515034,268.93396027514046,354.6307531020486,291.6825810450868,15.08752066729511,16.662365846327805,63.27433628318584,56.99115404337204,0.8696856820091095,4.0
HDFCLIFE.NS,626.3499755859375,638.75,626.3499755859375,633.3499755859375,633.3499755859375,6878964,0.0,0.0,63.9769016517289,626.2144976806641,625.5961444561298,605.5333292643229,625.3984486566303,631.9961337372011,22.69031411507097,14.81870999713148,20.985894206132375,18.484605413421384,618.0005656706279,637.7891707760149,573.2774877526309,8.69297280922342,7.875241452506776,78.8116202242701,68.7593343241288,1.1175860577709202,4.0
SBILIFE.NS,1480.0,1521.8499755859375,1480.0,1500.25,1500.25,1704887,0.0,0.0,46.11903085209646,1443.0224963378905,1491.2692307692307,1503.7216634114584,1489.4956306555075,1484.2892416752468,19.77886010142333,15.17735317085159,13.163631010974996,12.87757273899783,1343.963914757843,1556.7123765155281,1450.7309503073886,-0.406336730201474,3.1262143288115287,49.385749385749385,38.06718206132269,1.3990706964100579,4.0
